ID,Paymethod,LocalBilltype,Customer_Segments,Trips_To_The_Website_Yr,Avg_Spend_Per_Store_Visit,Customer_Loyality_Code,Number_Of_Transactions_Current_Year
60.000000,CC,FreeLocal,High Income Families,12.000000,50.840000,4.000000,6.000000
61.000000,CH,Budget,Low Value and No Kids,63.000000,293.240000,4.000000,11.000000
62.000000,CC,Budget,High Income Families,1.000000,2.970000,3.000000,0.000000
63.000000,CC,Budget,High Income Families,35.000000,163.410000,1.000000,6.000000
65.000000,CC,FreeLocal,High Income Families,0.000000,1.340000,1.000000,0.000000
68.000000,CC,FreeLocal,High Income Families,16.000000,59.590000,3.000000,9.000000
71.000000,CH,Budget,Low Value and No Kids,12.000000,39.330000,4.000000,10.000000
73.000000,Auto,FreeLocal,Married No Kids,7.000000,9.040000,4.000000,13.000000
74.000000,CC,Budget,High Income Families,9.000000,13.530000,4.000000,14.000000
75.000000,Auto,FreeLocal,Married No Kids,15.000000,50.050000,3.000000,12.000000
77.000000,Auto,Budget,Married No Kids,25.000000,111.840000,4.000000,5.000000
78.000000,CH,FreeLocal,Low Value and No Kids,8.000000,20.340000,4.000000,9.000000
79.000000,CC,FreeLocal,High Income Families,9.000000,13.920000,4.000000,10.000000
80.000000,Auto,Budget,Married No Kids,12.000000,47.170000,2.000000,6.000000
81.000000,CH,FreeLocal,Low Value and No Kids,7.000000,10.450000,4.000000,7.000000
83.000000,Auto,FreeLocal,Married No Kids,10.000000,31.780000,4.000000,9.000000
84.000000,CC,Budget,High Income Families,15.000000,56.090000,4.000000,8.000000
85.000000,CH,FreeLocal,Low Value and No Kids,9.000000,20.070000,4.000000,12.000000
86.000000,CH,FreeLocal,Low Value and No Kids,8.000000,24.190000,3.000000,8.000000
87.000000,CC,FreeLocal,High Income Families,13.000000,45.660000,4.000000,4.000000
88.000000,CC,FreeLocal,High Income Families,6.000000,17.110000,4.000000,1.000000
89.000000,Auto,FreeLocal,Married No Kids,17.000000,74.970000,4.000000,6.000000
90.000000,CC,FreeLocal,High Income Families,28.000000,125.150000,2.000000,8.000000
92.000000,CH,FreeLocal,Low Value and No Kids,20.000000,73.040000,2.000000,12.000000
94.000000,CC,FreeLocal,High Income Families,4.000000,11.930000,1.000000,5.000000
95.000000,CC,Budget,High Income Families,12.000000,41.890000,2.000000,10.000000
96.000000,CC,FreeLocal,High Income Families,10.000000,16.480000,3.000000,11.000000
97.000000,CC,FreeLocal,High Income Families,6.000000,25.950000,4.000000,1.000000
104.000000,CC,Budget,High Income Families,29.000000,104.640000,1.000000,15.000000
108.000000,Auto,Budget,Married No Kids,13.000000,40.480000,1.000000,11.000000
109.000000,CC,Budget,High Income Families,6.000000,10.340000,4.000000,8.000000
110.000000,CC,Budget,High Income Families,3.000000,11.190000,3.000000,1.000000
111.000000,CC,FreeLocal,High Income Families,41.000000,179.930000,2.000000,13.000000
114.000000,Auto,Budget,Married No Kids,17.000000,58.090000,2.000000,14.000000
117.000000,CC,Budget,High Income Families,9.000000,20.260000,2.000000,11.000000
120.000000,Auto,FreeLocal,Married No Kids,16.000000,52.220000,2.000000,15.000000
121.000000,CC,Budget,High Income Families,17.000000,57.060000,3.000000,14.000000
124.000000,CC,FreeLocal,High Income Families,10.000000,44.950000,4.000000,2.000000
127.000000,Auto,Budget,Married No Kids,11.000000,34.910000,2.000000,11.000000
130.000000,CC,Budget,High Income Families,1.000000,3.200000,4.000000,0.000000
133.000000,Auto,Budget,Married No Kids,27.000000,112.400000,1.000000,10.000000
135.000000,Auto,Budget,Married No Kids,0.000000,0.790000,2.000000,0.000000
136.000000,CC,Budget,High Income Families,6.000000,12.190000,1.000000,8.000000
138.000000,CC,FreeLocal,High Income Families,3.000000,12.480000,2.000000,1.000000
139.000000,CH,Budget,Low Value and No Kids,10.000000,27.200000,1.000000,11.000000
140.000000,CC,FreeLocal,High Income Families,38.000000,161.540000,2.000000,14.000000
142.000000,CC,Budget,High Income Families,13.000000,58.080000,1.000000,3.000000
148.000000,CC,FreeLocal,High Income Families,8.000000,13.010000,3.000000,13.000000
154.000000,Auto,FreeLocal,Married No Kids,27.000000,115.660000,4.000000,6.000000
158.000000,CC,Budget,High Income Families,5.000000,15.170000,1.000000,6.000000
160.000000,Auto,Budget,Married No Kids,10.000000,28.110000,4.000000,11.000000
161.000000,Auto,FreeLocal,Married No Kids,31.000000,150.750000,2.000000,1.000000
166.000000,CH,FreeLocal,Low Value and No Kids,10.000000,36.840000,3.000000,7.000000
169.000000,CH,Budget,Low Value and No Kids,8.000000,8.790000,1.000000,15.000000
174.000000,CC,Budget,High Income Families,3.000000,10.940000,4.000000,0.000000
178.000000,CC,Budget,High Income Families,10.000000,23.720000,3.000000,14.000000
180.000000,CC,FreeLocal,High Income Families,8.000000,25.580000,4.000000,6.000000
181.000000,CC,FreeLocal,High Income Families,5.000000,10.350000,3.000000,8.000000
182.000000,Auto,Budget,Married No Kids,21.000000,80.640000,2.000000,12.000000
190.000000,CC,FreeLocal,High Income Families,14.000000,57.250000,1.000000,5.000000
191.000000,CC,FreeLocal,High Income Families,8.000000,10.620000,4.000000,15.000000
192.000000,CH,FreeLocal,Low Value and No Kids,14.000000,62.440000,3.000000,5.000000
194.000000,CC,Budget,High Income Families,72.000000,332.460000,1.000000,15.000000
195.000000,CC,FreeLocal,High Income Families,8.000000,28.860000,2.000000,6.000000
198.000000,Auto,Budget,Married No Kids,21.000000,95.100000,1.000000,6.000000
201.000000,CC,FreeLocal,High Income Families,10.000000,29.280000,4.000000,11.000000
203.000000,CC,FreeLocal,High Income Families,38.000000,168.030000,4.000000,12.000000
205.000000,CH,FreeLocal,Low Value and No Kids,10.000000,16.270000,4.000000,14.000000
206.000000,CC,Budget,High Income Families,4.000000,22.150000,1.000000,0.000000
207.000000,CC,FreeLocal,High Income Families,12.000000,32.090000,2.000000,13.000000
209.000000,CC,Budget,High Income Families,9.000000,23.000000,4.000000,10.000000
213.000000,CC,Budget,High Income Families,11.000000,35.850000,4.000000,11.000000
214.000000,CH,Budget,Low Value and No Kids,24.000000,114.620000,3.000000,2.000000
215.000000,CC,FreeLocal,High Income Families,8.000000,32.120000,2.000000,4.000000
218.000000,Auto,FreeLocal,Married No Kids,24.000000,90.180000,3.000000,15.000000
219.000000,Auto,Budget,Married No Kids,12.000000,27.750000,2.000000,12.000000
220.000000,CC,FreeLocal,High Income Families,19.000000,68.330000,4.000000,13.000000
221.000000,CC,Budget,High Income Families,17.000000,70.650000,4.000000,8.000000
222.000000,CH,Budget,Low Value and No Kids,4.000000,8.490000,1.000000,2.000000
224.000000,CC,FreeLocal,High Income Families,4.000000,15.540000,2.000000,3.000000
225.000000,Auto,Budget,Married No Kids,5.000000,23.890000,4.000000,0.000000
228.000000,CC,Budget,High Income Families,2.000000,6.500000,1.000000,2.000000
229.000000,CC,Budget,High Income Families,2.000000,9.880000,4.000000,1.000000
231.000000,CC,FreeLocal,High Income Families,26.000000,103.120000,1.000000,13.000000
232.000000,Auto,FreeLocal,Married No Kids,15.000000,63.280000,3.000000,3.000000
233.000000,Auto,FreeLocal,Married No Kids,7.000000,30.950000,2.000000,3.000000
234.000000,CH,Budget,Low Value and No Kids,26.000000,113.310000,2.000000,8.000000
236.000000,CC,Budget,High Income Families,13.000000,41.710000,3.000000,11.000000
237.000000,CC,FreeLocal,High Income Families,13.000000,38.950000,4.000000,14.000000
238.000000,CH,FreeLocal,Low Value and No Kids,5.000000,8.850000,4.000000,9.000000
239.000000,CC,Budget,High Income Families,32.000000,144.660000,3.000000,7.000000
240.000000,CC,Budget,High Income Families,21.000000,93.610000,2.000000,5.000000
241.000000,Auto,FreeLocal,Married No Kids,35.000000,151.610000,2.000000,11.000000
242.000000,CC,FreeLocal,High Income Families,5.000000,8.970000,3.000000,8.000000
243.000000,Auto,FreeLocal,Married No Kids,5.000000,11.650000,3.000000,7.000000
244.000000,CC,FreeLocal,High Income Families,7.000000,10.620000,3.000000,13.000000
246.000000,Auto,Budget,Married No Kids,56.000000,252.530000,2.000000,13.000000
247.000000,CH,FreeLocal,Low Value and No Kids,7.000000,26.690000,4.000000,2.000000
249.000000,CC,Budget,High Income Families,11.000000,39.620000,4.000000,9.000000
250.000000,CH,FreeLocal,Low Value and No Kids,0.000000,1.160000,3.000000,0.000000
254.000000,CC,FreeLocal,High Income Families,2.000000,10.390000,3.000000,0.000000
255.000000,CC,FreeLocal,High Income Families,25.000000,103.520000,4.000000,11.000000
257.000000,Auto,FreeLocal,Married No Kids,17.000000,63.290000,3.000000,11.000000
260.000000,CH,FreeLocal,Low Value and No Kids,30.000000,125.520000,2.000000,13.000000
261.000000,Auto,Budget,Married No Kids,11.000000,37.240000,3.000000,10.000000
263.000000,Auto,Budget,Married No Kids,32.000000,139.200000,3.000000,11.000000
264.000000,CC,FreeLocal,High Income Families,33.000000,153.360000,2.000000,3.000000
265.000000,Auto,Budget,Married No Kids,7.000000,14.380000,4.000000,10.000000
266.000000,CC,FreeLocal,High Income Families,8.000000,36.780000,3.000000,1.000000
267.000000,CH,Budget,Low Value and No Kids,15.000000,65.090000,2.000000,4.000000
270.000000,CC,FreeLocal,High Income Families,33.000000,149.260000,4.000000,7.000000
271.000000,CH,Budget,Low Value and No Kids,10.000000,19.200000,1.000000,10.000000
272.000000,CC,FreeLocal,High Income Families,8.000000,19.880000,4.000000,11.000000
273.000000,CC,FreeLocal,High Income Families,6.000000,18.070000,3.000000,2.000000
276.000000,Auto,Budget,Married No Kids,8.000000,28.700000,1.000000,6.000000
279.000000,CH,FreeLocal,Low Value and No Kids,1.000000,2.890000,1.000000,0.000000
280.000000,CC,Budget,High Income Families,9.000000,20.050000,1.000000,9.000000
281.000000,CH,Budget,Low Value and No Kids,29.000000,116.570000,2.000000,15.000000
283.000000,Auto,Budget,Married No Kids,15.000000,45.460000,3.000000,14.000000
284.000000,CC,FreeLocal,High Income Families,30.000000,137.190000,4.000000,5.000000
285.000000,Auto,FreeLocal,Married No Kids,30.000000,126.960000,3.000000,12.000000
286.000000,CH,Budget,Low Value and No Kids,0.000000,2.210000,4.000000,0.000000
288.000000,CH,Budget,Low Value and No Kids,9.000000,43.230000,2.000000,1.000000
289.000000,CH,Budget,Low Value and No Kids,22.000000,80.470000,1.000000,10.000000
290.000000,CH,Budget,Low Value and No Kids,14.000000,55.480000,1.000000,4.000000
291.000000,CC,Budget,High Income Families,13.000000,45.920000,3.000000,7.000000
295.000000,CC,FreeLocal,High Income Families,19.000000,65.770000,4.000000,11.000000
298.000000,Auto,Budget,Married No Kids,4.000000,7.750000,4.000000,6.000000
302.000000,CC,FreeLocal,High Income Families,16.000000,48.690000,2.000000,14.000000
304.000000,CC,FreeLocal,High Income Families,19.000000,64.800000,3.000000,11.000000
305.000000,CC,Budget,High Income Families,4.000000,8.030000,4.000000,7.000000
306.000000,CH,FreeLocal,Low Value and No Kids,28.000000,99.940000,2.000000,15.000000
308.000000,CC,FreeLocal,High Income Families,11.000000,30.510000,2.000000,8.000000
309.000000,CC,Budget,High Income Families,27.000000,108.440000,4.000000,13.000000
310.000000,CH,Budget,Low Value and No Kids,21.000000,75.270000,2.000000,11.000000
312.000000,CC,FreeLocal,High Income Families,6.000000,22.820000,4.000000,4.000000
313.000000,CC,Budget,High Income Families,56.000000,256.700000,2.000000,11.000000
315.000000,CC,FreeLocal,High Income Families,28.000000,113.480000,2.000000,14.000000
317.000000,CC,FreeLocal,High Income Families,11.000000,43.200000,4.000000,4.000000
318.000000,CH,FreeLocal,Low Value and No Kids,19.000000,73.740000,4.000000,7.000000
320.000000,Auto,FreeLocal,Married No Kids,23.000000,90.190000,2.000000,10.000000
322.000000,CC,FreeLocal,High Income Families,8.000000,18.840000,3.000000,8.000000
326.000000,CH,Budget,Low Value and No Kids,18.000000,62.810000,4.000000,15.000000
329.000000,CC,FreeLocal,High Income Families,15.000000,51.170000,2.000000,9.000000
331.000000,CC,Budget,High Income Families,1.000000,3.220000,3.000000,0.000000
332.000000,CC,Budget,High Income Families,25.000000,104.730000,4.000000,9.000000
333.000000,Auto,Budget,Married No Kids,2.000000,10.220000,2.000000,0.000000
334.000000,CC,FreeLocal,High Income Families,8.000000,25.620000,4.000000,8.000000
335.000000,CC,FreeLocal,High Income Families,18.000000,59.080000,2.000000,15.000000
336.000000,Auto,FreeLocal,Married No Kids,9.000000,25.180000,4.000000,9.000000
337.000000,CC,FreeLocal,High Income Families,9.000000,17.710000,1.000000,13.000000
338.000000,Auto,Budget,Married No Kids,43.000000,208.190000,4.000000,0.000000
339.000000,Auto,FreeLocal,Married No Kids,15.000000,51.680000,3.000000,12.000000
341.000000,CC,Budget,High Income Families,18.000000,82.190000,2.000000,2.000000
343.000000,CC,FreeLocal,High Income Families,10.000000,43.600000,1.000000,3.000000
346.000000,CC,FreeLocal,High Income Families,11.000000,46.330000,1.000000,3.000000
349.000000,CH,Budget,Low Value and No Kids,24.000000,93.420000,3.000000,14.000000
350.000000,CC,Budget,High Income Families,3.000000,9.390000,1.000000,4.000000
351.000000,CH,Budget,Low Value and No Kids,0.000000,2.000000,4.000000,0.000000
353.000000,CC,Budget,High Income Families,53.000000,236.970000,4.000000,13.000000
354.000000,CC,Budget,High Income Families,3.000000,7.430000,3.000000,4.000000
355.000000,CH,Budget,Low Value and No Kids,17.000000,54.800000,3.000000,13.000000
356.000000,CC,FreeLocal,High Income Families,21.000000,84.670000,3.000000,10.000000
358.000000,CC,Budget,High Income Families,33.000000,164.760000,1.000000,1.000000
360.000000,Auto,FreeLocal,Married No Kids,13.000000,53.810000,2.000000,6.000000
361.000000,CC,FreeLocal,High Income Families,28.000000,128.100000,2.000000,3.000000
363.000000,CC,Budget,High Income Families,1.000000,4.460000,4.000000,0.000000
365.000000,Auto,Budget,Married No Kids,24.000000,116.140000,2.000000,1.000000
370.000000,CH,Budget,Low Value and No Kids,6.000000,20.950000,1.000000,4.000000
372.000000,CC,FreeLocal,High Income Families,9.000000,17.370000,2.000000,11.000000
374.000000,CH,FreeLocal,Low Value and No Kids,7.000000,8.840000,2.000000,13.000000
375.000000,CC,Budget,High Income Families,23.000000,112.720000,3.000000,0.000000
377.000000,CH,Budget,Low Value and No Kids,1.000000,3.360000,1.000000,0.000000
379.000000,CC,FreeLocal,High Income Families,18.000000,60.510000,2.000000,12.000000
382.000000,CC,Budget,High Income Families,17.000000,72.160000,1.000000,5.000000
383.000000,Auto,FreeLocal,Married No Kids,16.000000,51.470000,2.000000,14.000000
384.000000,CC,Budget,High Income Families,14.000000,35.730000,2.000000,15.000000
385.000000,Auto,Budget,Married No Kids,24.000000,100.080000,1.000000,10.000000
386.000000,Auto,FreeLocal,Married No Kids,19.000000,65.930000,2.000000,4.000000
388.000000,Auto,FreeLocal,Married No Kids,27.000000,118.000000,2.000000,10.000000
389.000000,CH,Budget,Low Value and No Kids,9.000000,27.290000,2.000000,9.000000
391.000000,Auto,FreeLocal,Married No Kids,9.000000,32.430000,2.000000,5.000000
392.000000,CC,FreeLocal,High Income Families,43.000000,192.530000,2.000000,11.000000
394.000000,CH,Budget,Low Value and No Kids,19.000000,77.000000,2.000000,4.000000
398.000000,CC,Budget,High Income Families,8.000000,19.780000,2.000000,10.000000
401.000000,CC,Budget,High Income Families,4.000000,6.740000,3.000000,8.000000
404.000000,Auto,FreeLocal,Married No Kids,25.000000,106.100000,3.000000,9.000000
405.000000,CH,FreeLocal,Low Value and No Kids,9.000000,37.730000,2.000000,4.000000
407.000000,CH,FreeLocal,Low Value and No Kids,5.000000,12.580000,3.000000,6.000000
408.000000,Auto,Budget,Married No Kids,11.000000,50.500000,2.000000,1.000000
410.000000,CH,FreeLocal,Low Value and No Kids,0.000000,1.460000,2.000000,0.000000
414.000000,CC,FreeLocal,High Income Families,6.000000,8.530000,1.000000,5.000000
418.000000,Auto,Budget,Married No Kids,7.000000,23.030000,3.000000,3.000000
419.000000,Auto,FreeLocal,Married No Kids,19.000000,66.350000,2.000000,15.000000
421.000000,CH,FreeLocal,Low Value and No Kids,32.000000,124.140000,4.000000,14.000000
422.000000,Auto,Budget,Married No Kids,0.000000,0.970000,2.000000,0.000000
423.000000,CC,FreeLocal,High Income Families,35.000000,160.420000,1.000000,14.000000
424.000000,CH,Budget,Low Value and No Kids,5.000000,24.440000,3.000000,1.000000
426.000000,CC,Budget,High Income Families,14.000000,43.340000,3.000000,11.000000
427.000000,CC,FreeLocal,High Income Families,17.000000,83.390000,1.000000,1.000000
428.000000,CC,Budget,High Income Families,3.000000,5.010000,2.000000,2.000000
429.000000,Auto,FreeLocal,Married No Kids,26.000000,106.500000,2.000000,10.000000
431.000000,CC,Budget,High Income Families,53.000000,262.910000,3.000000,15.000000
436.000000,CC,Budget,High Income Families,21.000000,82.430000,2.000000,11.000000
438.000000,CC,Budget,High Income Families,3.000000,5.350000,4.000000,6.000000
439.000000,CC,FreeLocal,High Income Families,22.000000,99.730000,2.000000,20.000000
440.000000,Auto,FreeLocal,Married No Kids,10.000000,26.780000,1.000000,13.000000
441.000000,CC,Budget,High Income Families,34.000000,154.770000,2.000000,14.000000
442.000000,CC,Budget,High Income Families,13.000000,61.440000,2.000000,13.000000
443.000000,Auto,Budget,Married No Kids,8.000000,35.730000,3.000000,17.000000
444.000000,Auto,Budget,Married No Kids,5.000000,9.510000,1.000000,17.000000
445.000000,CC,FreeLocal,High Income Families,13.000000,38.180000,1.000000,19.000000
446.000000,CC,Budget,High Income Families,27.000000,106.300000,4.000000,14.000000
450.000000,CC,FreeLocal,High Income Families,22.000000,96.430000,4.000000,7.000000
455.000000,CC,Budget,High Income Families,6.000000,6.870000,2.000000,11.000000
456.000000,CC,FreeLocal,High Income Families,9.000000,13.240000,1.000000,15.000000
458.000000,CH,Budget,Low Value and No Kids,20.000000,88.230000,1.000000,7.000000
460.000000,CC,FreeLocal,High Income Families,28.000000,132.650000,3.000000,3.000000
461.000000,CC,FreeLocal,High Income Families,4.000000,5.730000,1.000000,6.000000
462.000000,CC,Budget,High Income Families,6.000000,25.490000,4.000000,2.000000
463.000000,CC,Budget,High Income Families,47.000000,214.730000,2.000000,7.000000
464.000000,CC,Budget,High Income Families,23.000000,100.900000,2.000000,2.000000
465.000000,CC,Budget,High Income Families,15.000000,40.920000,2.000000,4.000000
466.000000,CC,FreeLocal,High Income Families,7.000000,6.810000,2.000000,4.000000
467.000000,Auto,FreeLocal,Married No Kids,10.000000,49.560000,2.000000,5.000000
468.000000,CC,FreeLocal,High Income Families,11.000000,43.010000,2.000000,4.000000
469.000000,CC,FreeLocal,High Income Families,9.000000,17.660000,2.000000,14.000000
470.000000,CH,FreeLocal,Low Value and No Kids,20.000000,89.620000,1.000000,6.000000
471.000000,CC,Budget,High Income Families,13.000000,45.340000,3.000000,6.000000
472.000000,CC,Budget,High Income Families,6.000000,18.730000,1.000000,6.000000
473.000000,Auto,Budget,Married No Kids,6.000000,23.460000,3.000000,1.000000
474.000000,CH,FreeLocal,Low Value and No Kids,18.000000,76.070000,1.000000,3.000000
475.000000,CC,Budget,High Income Families,21.000000,85.960000,3.000000,11.000000
476.000000,CH,Budget,Low Value and No Kids,8.000000,37.150000,1.000000,2.000000
477.000000,Auto,Budget,Married No Kids,6.000000,9.010000,3.000000,10.000000
478.000000,CC,FreeLocal,High Income Families,9.000000,40.910000,1.000000,2.000000
479.000000,CC,Budget,High Income Families,6.000000,8.960000,2.000000,9.000000
481.000000,CH,Budget,Low Value and No Kids,29.000000,117.260000,3.000000,10.000000
484.000000,CC,Budget,High Income Families,22.000000,87.400000,2.000000,11.000000
488.000000,CH,FreeLocal,Low Value and No Kids,4.000000,8.760000,2.000000,7.000000
491.000000,CC,FreeLocal,High Income Families,3.000000,15.200000,3.000000,0.000000
492.000000,Auto,FreeLocal,Married No Kids,18.000000,60.350000,2.000000,14.000000
493.000000,CH,Budget,Low Value and No Kids,6.000000,5.210000,3.000000,12.000000
494.000000,CC,FreeLocal,High Income Families,25.000000,97.050000,4.000000,14.000000
495.000000,CC,Budget,High Income Families,14.000000,40.070000,1.000000,15.000000
497.000000,CC,Budget,High Income Families,8.000000,9.020000,1.000000,15.000000
498.000000,CC,Budget,High Income Families,11.000000,40.230000,3.000000,7.000000
499.000000,Auto,Budget,Married No Kids,7.000000,10.740000,2.000000,12.000000
500.000000,CC,FreeLocal,High Income Families,29.000000,126.550000,4.000000,8.000000
504.000000,CH,Budget,Low Value and No Kids,26.000000,114.200000,3.000000,8.000000
505.000000,CC,Budget,High Income Families,3.000000,6.210000,4.000000,4.000000
506.000000,CC,Budget,High Income Families,22.000000,87.460000,4.000000,11.000000
508.000000,Auto,FreeLocal,Married No Kids,2.000000,11.520000,2.000000,0.000000
509.000000,CC,FreeLocal,High Income Families,31.000000,136.470000,2.000000,9.000000
510.000000,CH,Budget,Low Value and No Kids,4.000000,13.740000,2.000000,4.000000
513.000000,CC,Budget,High Income Families,46.000000,206.080000,2.000000,12.000000
518.000000,CH,FreeLocal,Low Value and No Kids,15.000000,45.500000,1.000000,15.000000
520.000000,CC,FreeLocal,High Income Families,9.000000,22.440000,2.000000,12.000000
523.000000,CC,Budget,High Income Families,12.000000,32.880000,4.000000,13.000000
526.000000,CH,Budget,Low Value and No Kids,6.000000,23.110000,1.000000,3.000000
529.000000,CC,FreeLocal,High Income Families,12.000000,46.420000,1.000000,6.000000
530.000000,CC,Budget,High Income Families,12.000000,32.190000,2.000000,13.000000
533.000000,CC,Budget,High Income Families,7.000000,13.940000,1.000000,10.000000
534.000000,CC,Budget,High Income Families,10.000000,38.960000,3.000000,5.000000
535.000000,CC,Budget,High Income Families,3.000000,6.330000,4.000000,5.000000
536.000000,Auto,FreeLocal,Married No Kids,14.000000,49.920000,4.000000,9.000000
541.000000,CC,Budget,High Income Families,40.000000,178.360000,3.000000,11.000000
547.000000,CC,FreeLocal,High Income Families,6.000000,28.660000,4.000000,0.000000
548.000000,Auto,Budget,Married No Kids,7.000000,13.450000,1.000000,11.000000
549.000000,CH,Budget,Low Value and No Kids,15.000000,45.470000,4.000000,14.000000
550.000000,CC,FreeLocal,High Income Families,8.000000,12.460000,4.000000,13.000000
552.000000,CC,FreeLocal,High Income Families,20.000000,87.090000,4.000000,7.000000
554.000000,CC,Budget,High Income Families,16.000000,56.640000,1.000000,7.000000
557.000000,CC,FreeLocal,High Income Families,7.000000,22.900000,3.000000,6.000000
560.000000,CC,Budget,High Income Families,8.000000,25.660000,4.000000,7.000000
561.000000,CC,FreeLocal,High Income Families,7.000000,15.460000,4.000000,10.000000
564.000000,CC,Budget,High Income Families,19.000000,91.040000,3.000000,2.000000
565.000000,CH,Budget,Low Value and No Kids,20.000000,81.300000,4.000000,8.000000
566.000000,CC,Budget,High Income Families,3.000000,11.740000,1.000000,2.000000
572.000000,CC,FreeLocal,High Income Families,12.000000,50.840000,2.000000,6.000000
573.000000,CH,Budget,Low Value and No Kids,63.000000,293.240000,4.000000,11.000000
574.000000,CC,Budget,High Income Families,1.000000,2.970000,3.000000,0.000000
575.000000,CC,Budget,High Income Families,35.000000,163.410000,2.000000,6.000000
577.000000,CC,FreeLocal,High Income Families,0.000000,1.340000,2.000000,0.000000
580.000000,CC,FreeLocal,High Income Families,16.000000,59.590000,3.000000,9.000000
583.000000,CH,Budget,Low Value and No Kids,12.000000,39.330000,3.000000,10.000000
585.000000,Auto,FreeLocal,Married No Kids,7.000000,9.040000,3.000000,13.000000
586.000000,CC,Budget,High Income Families,9.000000,13.530000,4.000000,14.000000
587.000000,Auto,FreeLocal,Married No Kids,15.000000,50.050000,4.000000,12.000000
589.000000,Auto,Budget,Married No Kids,25.000000,111.840000,1.000000,5.000000
591.000000,CC,FreeLocal,High Income Families,9.000000,13.920000,4.000000,10.000000
592.000000,Auto,Budget,Married No Kids,12.000000,47.170000,2.000000,6.000000
593.000000,CH,FreeLocal,Low Value and No Kids,7.000000,10.450000,4.000000,7.000000
595.000000,Auto,FreeLocal,Married No Kids,10.000000,31.780000,4.000000,9.000000
596.000000,CC,Budget,High Income Families,15.000000,56.090000,4.000000,8.000000
598.000000,CH,FreeLocal,Low Value and No Kids,8.000000,24.190000,4.000000,8.000000
599.000000,CH,FreeLocal,Low Value and No Kids,13.000000,45.660000,4.000000,4.000000
601.000000,Auto,FreeLocal,Married No Kids,17.000000,74.970000,4.000000,6.000000
602.000000,CC,FreeLocal,High Income Families,28.000000,125.150000,2.000000,8.000000
604.000000,CH,FreeLocal,Low Value and No Kids,20.000000,73.040000,3.000000,12.000000
606.000000,CC,FreeLocal,High Income Families,4.000000,11.930000,4.000000,5.000000
607.000000,CC,Budget,High Income Families,12.000000,41.890000,3.000000,10.000000
608.000000,CC,FreeLocal,High Income Families,10.000000,16.480000,3.000000,11.000000
609.000000,CC,FreeLocal,High Income Families,6.000000,25.950000,4.000000,1.000000
616.000000,CC,Budget,High Income Families,29.000000,104.640000,4.000000,15.000000
620.000000,Auto,Budget,Married No Kids,13.000000,40.480000,4.000000,11.000000
621.000000,CC,Budget,High Income Families,6.000000,10.340000,4.000000,8.000000
622.000000,CC,Budget,High Income Families,3.000000,11.190000,2.000000,2.000000
623.000000,CC,FreeLocal,High Income Families,41.000000,179.930000,3.000000,13.000000
626.000000,Auto,Budget,Married No Kids,17.000000,58.090000,3.000000,14.000000
629.000000,CC,Budget,High Income Families,9.000000,20.260000,3.000000,11.000000
632.000000,Auto,FreeLocal,Married No Kids,16.000000,52.220000,4.000000,15.000000
633.000000,CC,Budget,High Income Families,17.000000,57.060000,4.000000,14.000000
636.000000,CC,FreeLocal,High Income Families,10.000000,44.950000,1.000000,2.000000
639.000000,Auto,Budget,Married No Kids,11.000000,34.910000,1.000000,11.000000
645.000000,Auto,Budget,Married No Kids,27.000000,112.400000,2.000000,10.000000
647.000000,Auto,Budget,Married No Kids,0.000000,0.790000,4.000000,0.000000
